id,title,year,genre,director,actors,plot,imdb_rating,runtime_minutes
tt0137523,Fight Club,1999,"Drama, Mystery","David Fincher","Brad Pitt, Edward Norton, Helena Bonham Carter","An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.",8.8,139
tt0167404,The Sixth Sense,1999,"Drama, Mystery, Thriller","M. Night Shyamalan","Bruce Willis, Haley Joel Osment, Toni Collette","A boy who communicates with spirits seeks the help of a disheartened child psychologist.",8.2,107
tt1375666,Inception,2010,"Action, Adventure, Mystery","Christopher Nolan","Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page","A thief who steals corporate secrets through dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO.",8.8,148
tt0482571,The Prestige,2006,"Drama, Mystery, Sci-Fi","Christopher Nolan","Christian Bale, Hugh Jackman, Scarlett Johansson","After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",8.5,130
tt0114814,The Usual Suspects,1995,"Crime, Drama, Mystery","Bryan Singer","Kevin Spacey, Gabriel Byrne, Chazz Palminteri","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a random police lineup.",8.5,106
